,Type,Title,Country,Release Year,Rating,Duration,Genres,Vote Average
2146,MOVIE,The Batman,['US'],2022,PG-13,175,"['thriller', 'crime', 'drama', 'scifi', 'action']",7.709
284,MOVIE,The Red Balloon,['FR'],1956,Unknown,34,"['drama', 'family', 'fantasy', 'comedy', 'european']",7.709
191,MOVIE,Cat on a Hot Tin Roof,['US'],1958,Unknown,108,['drama'],7.705
2156,MOVIE,Godzilla vs. Kong,['US'],2021,PG-13,113,"['scifi', 'action', 'fantasy', 'thriller']",7.702
13,MOVIE,Stagecoach,['US'],1939,Unknown,96,"['western', 'drama']",7.7
343,MOVIE,The Young Girls of Rochefort,['FR'],1967,G,120,"['drama', 'european', 'romance', 'comedy']",7.7
1728,MOVIE,Living With Lincoln,['US'],2015,Unknown,60,['documentation'],7.7
981,MOVIE,Slumdog Millionaire,"['GB', 'US', 'FR']",2008,R,120,"['drama', 'romance', 'crime']",7.7
296,MOVIE,Good Morning,['JP'],1959,Unknown,94,"['drama', 'comedy', 'family']",7.7
182,MOVIE,A Streetcar Named Desire,['US'],1951,PG,125,"['drama', 'european']",7.7
1736,MOVIE,Scooby-Doo! and WWE: Curse of the Speed Demon,['US'],2016,PG,72,['comedy'],7.7
2005,MOVIE,Linda Ronstadt: The Sound of My Voice,['US'],2019,PG-13,95,"['documentation', 'music']",7.7
1930,MOVIE,"Crazy, Not Insane",['US'],2020,Unknown,117,"['documentation', 'crime']",7.7
7,MOVIE,Mildred Pierce,['US'],1945,Unknown,111,"['drama', 'romance', 'crime']",7.7
959,MOVIE,Little Miss Sunshine,['US'],2006,R,101,"['drama', 'comedy']",7.7
1121,MOVIE,White Light/Black Rain: The Destruction of Hiroshima and Nagasaki,['US'],2007,Unknown,86,"['war', 'documentation', 'history']",7.7
1882,MOVIE,Bright Lights: Starring Carrie Fisher and Debbie Reynolds,['US'],2017,Unknown,95,['documentation'],7.7
2328,MOVIE,Scooby-Doo! The Sword and the Scoob,['US'],2021,Unknown,72,['comedy'],7.7
174,MOVIE,The Wild Bunch,['US'],1969,R,145,"['western', 'action', 'drama']",7.7
805,MOVIE,When We Were Kings,['US'],1997,PG,89,"['documentation', 'sport']",7.7
2027,MOVIE,Belichick & Saban: The Art of Coaching,['US'],2019,PG,90,"['documentation', 'sport']",7.7
1932,MOVIE,The Bee Gees: How Can You Mend a Broken Heart,['US'],2020,Unknown,111,"['documentation', 'music']",7.7
416,MOVIE,The Big City,['IN'],1963,Unknown,136,['drama'],7.7
1636,MOVIE,Cobain: Montage of Heck,['US'],2015,Unknown,132,"['animation', 'music', 'documentation']",7.7
5,MOVIE,The Big Sleep,['US'],1946,Unknown,114,"['crime', 'thriller']",7.7
393,MOVIE,The Elephant God,['IN'],1979,Unknown,120,"['crime', 'family']",7.7
2170,MOVIE,The Fallout,['US'],2022,R,92,['drama'],7.7
434,MOVIE,Late Autumn,['JP'],1960,Unknown,128,"['drama', 'comedy']",7.7
1674,MOVIE,The Walk,['GB'],2015,R,89,"['crime', 'thriller']",7.7
65,MOVIE,"Germany, Year Zero","['DE', 'IT', 'FR']",1949,Unknown,72,"['drama', 'european', 'war']",7.7
1278,MOVIE,Teen Titans: Trouble in Tokyo,['US'],2006,G,75,"['animation', 'action', 'comedy', 'family', 'fantasy', 'scifi']",7.7
845,MOVIE,Life of Crime 2,['US'],1998,Unknown,119,['documentation'],7.7
1306,MOVIE,George Lopez: America's Mexican,['US'],2007,R,65,"['comedy', 'documentation']",7.7
394,MOVIE,Onibaba,['JP'],1964,NC-17,105,"['horror', 'drama', 'thriller']",7.699
348,MOVIE,My Night at Maud's,['FR'],1969,Unknown,100,"['comedy', 'drama', 'european', 'romance']",7.698
1473,MOVIE,Nightcrawler,['US'],2014,R,117,"['drama', 'thriller', 'crime']",7.697
962,MOVIE,Batman Begins,"['US', 'GB']",2005,PG-13,140,"['drama', 'crime', 'action']",7.694
840,MOVIE,Three Colors: Blue,"['PL', 'CH', 'FR']",1993,R,98,"['drama', 'european', 'music', 'romance']",7.683
176,MOVIE,All the President's Men,['US'],1976,PG,138,"['thriller', 'drama', 'history']",7.681
1083,MOVIE,Under the Same Moon,"['MX', 'US']",2008,PG-13,106,['drama'],7.674
