,Type,Title,Country,Release Year,Rating,Seasons,Genres,Vote Average
466,SHOW,The Cleaning Lady,['US'],2022,TV-14,2.0,"['crime', 'drama', 'thriller']",7.873
170,SHOW,Impractical Jokers,['US'],2011,TV-14,10.0,"['comedy', 'reality']",7.865
25,SHOW,ER,['US'],1994,TV-14,15.0,"['drama', 'documentation', 'romance']",7.859
455,SHOW,Our Flag Means Death,['US'],2022,TV-MA,2.0,"['action', 'drama', 'comedy', 'history', 'romance']",7.858
99,SHOW,Flight of the Conchords,['US'],2007,TV-MA,2.0,"['comedy', 'music']",7.849
108,SHOW,The Batman,['US'],2004,TV-Y7,5.0,"['scifi', 'action', 'thriller', 'animation', 'fantasy', 'family', 'crime', 'drama']",7.848
281,SHOW,Barry,['US'],2018,TV-MA,3.0,"['comedy', 'drama', 'crime', 'action']",7.845
2,SHOW,"Scooby-Doo, Where Are You!",['US'],1969,TV-G,3.0,"['comedy', 'family', 'animation', 'crime']",7.839
91,SHOW,One Tree Hill,['US'],2003,TV-14,9.0,"['drama', 'romance', 'sport']",7.827
352,SHOW,DC's Stargirl,['US'],2020,TV-14,3.0,"['scifi', 'action', 'drama', 'crime', 'fantasy']",7.823
92,SHOW,The O.C.,['US'],2003,TV-14,4.0,"['drama', 'comedy', 'romance']",7.817
105,SHOW,John Adams,['US'],2008,TV-14,1.0,"['drama', 'history']",7.806
31,SHOW,The Larry Sanders Show,['US'],1992,TV-MA,6.0,['comedy'],7.8
510,SHOW,Exterminate All the Brutes,['US'],2021,TV-MA,1.0,"['documentation', 'drama', 'history']",7.8
98,SHOW,Cold Case,['US'],2003,TV-14,7.0,"['drama', 'crime', 'thriller']",7.8
196,SHOW,When Shall We Kiss?,['HU'],2011,Unknown,2.0,"['drama', 'romance', 'comedy']",7.8
190,SHOW,Green Lantern: The Animated Series,['US'],2011,TV-PG,1.0,"['action', 'scifi', 'animation', 'family']",7.797
131,SHOW,In Treatment,['US'],2008,TV-MA,4.0,['drama'],7.781
357,SHOW,The Other Two,['US'],2019,TV-MA,2.0,['comedy'],7.773
23,SHOW,Whose Line Is It Anyway?,['US'],1998,TV-14,15.0,['comedy'],7.772
467,SHOW,Kung Fu,['US'],2021,TV-14,3.0,"['action', 'drama']",7.747
83,SHOW,The Venture Bros.,['US'],2004,TV-MA,7.0,"['action', 'comedy', 'animation', 'fantasy', 'scifi']",7.747
283,SHOW,Sharp Objects,['US'],2018,TV-MA,1.0,"['drama', 'crime', 'thriller']",7.743
345,SHOW,Watchmen,['US'],2019,TV-MA,1.0,"['scifi', 'crime', 'drama', 'action']",7.736
6,SHOW,Super Friends,['US'],1973,TV-Y7,9.0,"['scifi', 'family', 'animation', 'action']",7.731
72,SHOW,Chuck,['US'],2007,TV-14,5.0,"['comedy', 'drama', 'action']",7.727
247,SHOW,The Young Pope,"['ES', 'US', 'FR', 'IT', 'GB']",2016,TV-MA,1.0,"['drama', 'european']",7.727
84,SHOW,The Pacific,['US'],2010,TV-MA,1.0,"['action', 'war', 'drama', 'history']",7.723
372,SHOW,All Rise,['US'],2019,TV-MA,3.0,"['drama', 'family']",7.715
621,SHOW,Poor Devil,['ES'],2023,TV-MA,1.0,"['comedy', 'animation']",7.714
115,SHOW,Metalocalypse,['US'],2006,TV-MA,5.0,"['animation', 'comedy', 'music']",7.7
248,SHOW,Adam Ruins Everything,['US'],2015,TV-14,3.0,"['comedy', 'history', 'documentation', 'animation']",7.7
55,SHOW,Sealab 2021,['US'],2000,TV-14,5.0,"['animation', 'scifi', 'comedy']",7.7
188,SHOW,Black Dynamite,['US'],2012,TV-MA,2.0,"['comedy', 'action', 'crime', 'drama', 'animation']",7.7
312,SHOW,The Zen Diaries of Garry Shandling,['US'],2018,TV-MA,1.0,['documentation'],7.7
363,SHOW,Looney Tunes Cartoons,['US'],2020,TV-PG,5.0,"['family', 'animation', 'comedy', 'thriller', 'action']",7.7
220,SHOW,Fixer Upper,['US'],2013,TV-G,5.0,['reality'],7.7
255,SHOW,We Bare Bears,['US'],2015,TV-Y7,4.0,"['comedy', 'family', 'fantasy', 'animation']",7.7
496,SHOW,Shaq,['US'],2022,TV-14,1.0,"['documentation', 'sport']",7.7
484,SHOW,The Forgotten Valley,['BR'],2022,TV-MA,1.0,"['drama', 'thriller']",7.7
33,SHOW,Mr. Show with Bob and David,['US'],1995,TV-MA,4.0,['comedy'],7.7
446,SHOW,Abbott Elementary,['US'],2021,TV-PG,3.0,['comedy'],7.7
463,SHOW,Julia,['US'],2022,Unknown,1.0,['drama'],7.7
381,SHOW,A Black Lady Sketch Show,['US'],2019,TV-MA,3.0,['comedy'],7.696
125,SHOW,Angels in America,['US'],2003,TV-MA,1.0,"['drama', 'scifi', 'fantasy', 'romance']",7.696
294,SHOW,Elvis Presley: The Searcher,['US'],2018,TV-PG,1.0,['documentation'],7.667
290,SHOW,The Deuce,['US'],2017,TV-MA,3.0,['drama'],7.665
288,SHOW,The Alienist,['US'],2018,TV-MA,2.0,"['drama', 'crime']",7.665
51,SHOW,Superman: The Animated Series,['US'],1996,TV-PG,4.0,"['scifi', 'action', 'animation', 'drama', 'family']",7.641
314,SHOW,Blinded by the Lights,['PL'],2018,Unknown,1.0,"['drama', 'crime', 'european']",7.64
44,SHOW,Dexter's Laboratory,['US'],1996,TV-G,4.0,"['comedy', 'scifi', 'animation', 'family', 'fantasy']",7.639
205,SHOW,The Leftovers,['US'],2014,TV-MA,3.0,"['scifi', 'drama', 'fantasy', 'thriller']",7.639
243,SHOW,Insecure,['US'],2016,TV-MA,5.0,"['drama', 'comedy', 'romance']",7.639
339,SHOW,Doom Patrol,['US'],2019,TV-MA,4.0,"['scifi', 'action', 'comedy', 'drama']",7.638
383,SHOW,Atlanta's Missing and Murdered: The Lost Children,['US'],2020,TV-MA,1.0,"['documentation', 'crime']",7.636
77,SHOW,True Blood,['US'],2008,TV-MA,7.0,"['scifi', 'drama', 'fantasy', 'horror', 'romance', 'thriller']",7.63
100,SHOW,Robot Chicken,['US'],2005,TV-MA,11.0,"['comedy', 'drama', 'thriller', 'animation', 'scifi', 'action']",7.625
